case_id,benchmark_id,family,label,mode,coeff,alternate_coeff,maxdim,dimension,threshold_label,threshold_value,matrix_size,distance_matrix_hash,point_cloud_hash,boundary_condition,classification,mechanism,notes,baseline_zero_metric,ripser_dionysus_exact,float32_roundtrip_matches,gudhi_extra_interval_count,gudhi_extra_zero_length_count,gudhi_extra_threshold_touching_count,gudhi_extra_short_count,gudhi_extra_max_length,quantized_or_exact_variant_classification,quantized_or_exact_variant_exact_all,jitter_variant_classification,jitter_variant_exact_all,scale_half_exact_all,scale_double_exact_all,alpha_vs_2alpha_matches,alpha_vs_2alpha_candidate,alternate_coeff_classification,alternate_coeff_mechanism,alternate_coeff_same_classification,infinite_bar_counts_equal,infinite_bar_count_gudhi,infinite_bar_count_ripser,infinite_bar_count_dionysus,diagonal_zero,approximation_flags_disabled,input_matrix_path,point_cloud_path,case_audit_path,audit_case_command
tfim_obc_n4_g0p50__floating__p2__h1__selected,tfim_obc_n4_g0p50__floating,A,"TFIM OBC N=4, g=0.50",floating,2,3,1,0,selected,1.2427812645009748,4,38ff65464b09dd1fb2b06956acc00e3de7793446c02e28a0a709a3d9c6ac2b74,,obc,floating-point artifact,float64-vs-float32 endpoint rounding,GUDHI matches Ripser.py/Dionysus after a float32 round-trip of the interval endpoints.,True,True,True,3,0,2,0,1.2427812814712524,no discrepancy,True,unresolved,False,True,False,,False,floating-point artifact,float64-vs-float32 endpoint rounding,True,True,1,1,1,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n4_g0p50__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n4_g0p50__floating__p2__h1__selected.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n4_g0p50__floating__p2__h1__selected
tfim_obc_n4_g0p50__floating__p2__h1__full,tfim_obc_n4_g0p50__floating,A,"TFIM OBC N=4, g=0.50",floating,2,3,1,0,full,1.7594160005299657,4,38ff65464b09dd1fb2b06956acc00e3de7793446c02e28a0a709a3d9c6ac2b74,,obc,floating-point artifact,float64-vs-float32 endpoint rounding,GUDHI matches Ripser.py/Dionysus after a float32 round-trip of the interval endpoints.,True,True,True,3,0,0,0,1.2427812814712524,no discrepancy,True,floating-point artifact,False,True,False,,False,floating-point artifact,float64-vs-float32 endpoint rounding,True,True,1,1,1,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n4_g0p50__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n4_g0p50__floating__p2__h1__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n4_g0p50__floating__p2__h1__full
tfim_obc_n4_g0p50__floating__p2__h1__full,tfim_obc_n4_g0p50__floating,A,"TFIM OBC N=4, g=0.50",floating,2,3,1,1,full,1.7594160005299657,4,38ff65464b09dd1fb2b06956acc00e3de7793446c02e28a0a709a3d9c6ac2b74,,obc,convention mismatch,zero-length bar reporting,"The disagreement is entirely unmatched zero-length bars, which only GUDHI reports.",True,True,False,3,3,1,3,0.0,convention mismatch,False,convention mismatch,False,True,False,,False,convention mismatch,zero-length bar reporting,True,True,0,0,0,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n4_g0p50__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n4_g0p50__floating__p2__h1__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n4_g0p50__floating__p2__h1__full
tfim_obc_n4_g0p50__floating__p2__h2__selected,tfim_obc_n4_g0p50__floating,A,"TFIM OBC N=4, g=0.50",floating,2,3,2,0,selected,1.2427812645009748,4,38ff65464b09dd1fb2b06956acc00e3de7793446c02e28a0a709a3d9c6ac2b74,,obc,floating-point artifact,float64-vs-float32 endpoint rounding,GUDHI matches Ripser.py/Dionysus after a float32 round-trip of the interval endpoints.,True,True,True,3,0,2,0,1.2427812814712524,no discrepancy,True,unresolved,False,True,False,,False,floating-point artifact,float64-vs-float32 endpoint rounding,True,True,1,1,1,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n4_g0p50__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n4_g0p50__floating__p2__h2__selected.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n4_g0p50__floating__p2__h2__selected
tfim_obc_n4_g0p50__floating__p2__h2__full,tfim_obc_n4_g0p50__floating,A,"TFIM OBC N=4, g=0.50",floating,2,3,2,0,full,1.7594160005299657,4,38ff65464b09dd1fb2b06956acc00e3de7793446c02e28a0a709a3d9c6ac2b74,,obc,floating-point artifact,float64-vs-float32 endpoint rounding,GUDHI matches Ripser.py/Dionysus after a float32 round-trip of the interval endpoints.,True,True,True,3,0,0,0,1.2427812814712524,no discrepancy,True,floating-point artifact,False,True,False,,False,floating-point artifact,float64-vs-float32 endpoint rounding,True,True,1,1,1,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n4_g0p50__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n4_g0p50__floating__p2__h2__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n4_g0p50__floating__p2__h2__full
tfim_obc_n4_g0p50__floating__p2__h2__full,tfim_obc_n4_g0p50__floating,A,"TFIM OBC N=4, g=0.50",floating,2,3,2,1,full,1.7594160005299657,4,38ff65464b09dd1fb2b06956acc00e3de7793446c02e28a0a709a3d9c6ac2b74,,obc,convention mismatch,zero-length bar reporting,"The disagreement is entirely unmatched zero-length bars, which only GUDHI reports.",True,True,False,3,3,1,3,0.0,convention mismatch,False,convention mismatch,False,True,False,,False,convention mismatch,zero-length bar reporting,True,True,0,0,0,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n4_g0p50__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n4_g0p50__floating__p2__h2__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n4_g0p50__floating__p2__h2__full
tfim_obc_n4_g0p50__floating__p2__h2__full,tfim_obc_n4_g0p50__floating,A,"TFIM OBC N=4, g=0.50",floating,2,3,2,2,full,1.7594160005299657,4,38ff65464b09dd1fb2b06956acc00e3de7793446c02e28a0a709a3d9c6ac2b74,,obc,convention mismatch,zero-length bar reporting,"The disagreement is entirely unmatched zero-length bars, which only GUDHI reports.",True,True,False,1,1,1,1,0.0,convention mismatch,False,no discrepancy,True,True,False,,False,convention mismatch,zero-length bar reporting,True,True,0,0,0,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n4_g0p50__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n4_g0p50__floating__p2__h2__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n4_g0p50__floating__p2__h2__full
tfim_obc_n4_g0p50__floating__p3__h1__selected,tfim_obc_n4_g0p50__floating,A,"TFIM OBC N=4, g=0.50",floating,3,2,1,0,selected,1.2427812645009748,4,38ff65464b09dd1fb2b06956acc00e3de7793446c02e28a0a709a3d9c6ac2b74,,obc,floating-point artifact,float64-vs-float32 endpoint rounding,GUDHI matches Ripser.py/Dionysus after a float32 round-trip of the interval endpoints.,True,True,True,3,0,2,0,1.2427812814712524,no discrepancy,True,unresolved,False,True,False,,False,floating-point artifact,float64-vs-float32 endpoint rounding,True,True,1,1,1,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n4_g0p50__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n4_g0p50__floating__p3__h1__selected.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n4_g0p50__floating__p3__h1__selected
tfim_obc_n4_g0p50__floating__p3__h1__full,tfim_obc_n4_g0p50__floating,A,"TFIM OBC N=4, g=0.50",floating,3,2,1,0,full,1.7594160005299657,4,38ff65464b09dd1fb2b06956acc00e3de7793446c02e28a0a709a3d9c6ac2b74,,obc,floating-point artifact,float64-vs-float32 endpoint rounding,GUDHI matches Ripser.py/Dionysus after a float32 round-trip of the interval endpoints.,True,True,True,3,0,0,0,1.2427812814712524,no discrepancy,True,floating-point artifact,False,True,False,,False,floating-point artifact,float64-vs-float32 endpoint rounding,True,True,1,1,1,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n4_g0p50__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n4_g0p50__floating__p3__h1__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n4_g0p50__floating__p3__h1__full
tfim_obc_n4_g0p50__floating__p3__h1__full,tfim_obc_n4_g0p50__floating,A,"TFIM OBC N=4, g=0.50",floating,3,2,1,1,full,1.7594160005299657,4,38ff65464b09dd1fb2b06956acc00e3de7793446c02e28a0a709a3d9c6ac2b74,,obc,convention mismatch,zero-length bar reporting,"The disagreement is entirely unmatched zero-length bars, which only GUDHI reports.",True,True,False,3,3,1,3,0.0,convention mismatch,False,convention mismatch,False,True,False,,False,convention mismatch,zero-length bar reporting,True,True,0,0,0,True,True,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/inputs/tfim_obc_n4_g0p50__floating/distance_matrix.npy,,/mnt/c/Users/한구원/Desktop/Formal-Verification-and-Cross-Library-Reproducibility-of-Persistent-Homology-/artifacts/audit/cases/tfim_obc_n4_g0p50__floating__p3__h1__full.json,PYTHONPATH=src python scripts/run_audit_conventions.py --conformance-dir artifacts --output-dir artifacts/audit --case-id tfim_obc_n4_g0p50__floating__p3__h1__full
