case_id,benchmark_id,family,mode,coeff,maxdim,threshold_label,library,dimension,interval_index,birth,death,birth_hex,death_hex
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,gudhi,0,0,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,gudhi,0,1,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,gudhi,0,2,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,gudhi,0,3,0.0,0.9999999999999999,0x0.0p+0,0x1.fffffffffffffp-1
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,gudhi,0,4,0.0,0.9999999999999999,0x0.0p+0,0x1.fffffffffffffp-1
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,gudhi,0,5,0.0,0.9999999999999999,0x0.0p+0,0x1.fffffffffffffp-1
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,gudhi,0,6,0.0,0.9999999999999999,0x0.0p+0,0x1.fffffffffffffp-1
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,gudhi,0,7,0.0,inf,0x0.0p+0,inf
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,gudhi,1,0,1.0,inf,0x1.0000000000000p+0,inf
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,ripser,0,0,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,ripser,0,1,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,ripser,0,2,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,ripser,0,3,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,ripser,0,4,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,ripser,0,5,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,ripser,0,6,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,ripser,0,7,0.0,inf,0x0.0p+0,inf
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,ripser,1,0,1.0,inf,0x1.0000000000000p+0,inf
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,dionysus,0,0,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,dionysus,0,1,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,dionysus,0,2,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,dionysus,0,3,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,dionysus,0,4,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,dionysus,0,5,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,dionysus,0,6,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,dionysus,0,7,0.0,inf,0x0.0p+0,inf
honeycomb_patch_2x2__floating__p3__h2__selected,honeycomb_patch_2x2__floating,B,floating,3,2,selected,dionysus,1,0,1.0,inf,0x1.0000000000000p+0,inf
