case_id,benchmark_id,family,mode,coeff,maxdim,threshold_label,library,dimension,interval_index,birth,death,birth_hex,death_hex
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,0,0,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,0,1,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,0,2,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,0,3,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,0,4,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,0,5,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,0,6,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,0,7,0.0,inf,0x0.0p+0,inf
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,1,0,1.0,1.732421875,0x1.0000000000000p+0,0x1.bb80000000000p+0
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,1,1,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,1,2,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,1,3,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,1,4,4.0,4.0,0x1.0000000000000p+2,0x1.0000000000000p+2
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,1,5,2.6455078125,2.6455078125,0x1.52a0000000000p+1,0x1.52a0000000000p+1
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,1,6,2.6455078125,2.6455078125,0x1.52a0000000000p+1,0x1.52a0000000000p+1
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,1,7,2.6455078125,2.6455078125,0x1.52a0000000000p+1,0x1.52a0000000000p+1
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,1,8,2.6455078125,2.6455078125,0x1.52a0000000000p+1,0x1.52a0000000000p+1
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,1,9,3.0,3.0,0x1.8000000000000p+1,0x1.8000000000000p+1
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,1,10,3.0,3.0,0x1.8000000000000p+1,0x1.8000000000000p+1
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,1,11,1.732421875,1.732421875,0x1.bb80000000000p+0,0x1.bb80000000000p+0
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,1,12,1.732421875,1.732421875,0x1.bb80000000000p+0,0x1.bb80000000000p+0
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,1,13,1.732421875,1.732421875,0x1.bb80000000000p+0,0x1.bb80000000000p+0
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,1,14,1.732421875,1.732421875,0x1.bb80000000000p+0,0x1.bb80000000000p+0
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,1,15,1.732421875,1.732421875,0x1.bb80000000000p+0,0x1.bb80000000000p+0
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,1,16,1.732421875,1.732421875,0x1.bb80000000000p+0,0x1.bb80000000000p+0
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,1,17,1.732421875,1.732421875,0x1.bb80000000000p+0,0x1.bb80000000000p+0
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,1,18,1.732421875,1.732421875,0x1.bb80000000000p+0,0x1.bb80000000000p+0
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,1,19,1.732421875,1.732421875,0x1.bb80000000000p+0,0x1.bb80000000000p+0
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,1,20,1.732421875,1.732421875,0x1.bb80000000000p+0,0x1.bb80000000000p+0
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,2,0,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,2,1,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,2,2,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,2,3,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,2,4,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,2,5,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,2,6,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,2,7,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,2,8,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,2,9,4.0,4.0,0x1.0000000000000p+2,0x1.0000000000000p+2
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,2,10,4.0,4.0,0x1.0000000000000p+2,0x1.0000000000000p+2
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,2,11,4.0,4.0,0x1.0000000000000p+2,0x1.0000000000000p+2
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,2,12,4.0,4.0,0x1.0000000000000p+2,0x1.0000000000000p+2
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,2,13,4.0,4.0,0x1.0000000000000p+2,0x1.0000000000000p+2
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,2,14,2.6455078125,2.6455078125,0x1.52a0000000000p+1,0x1.52a0000000000p+1
honeycomb_patch_2x2__quantized__p2__h2__full,honeycomb_patch_2x2__quantized,B,quantized,2,2,full,gudhi,2,15,2.6455078125,2.6455078125,0x1.52a0000000000p+1,0x1.52a0000000000p+1
