case_id,benchmark_id,family,mode,coeff,maxdim,threshold_label,library,dimension,interval_index,birth,death,birth_hex,death_hex
square_patch_3x3__floating__p2__h1__full,square_patch_3x3__floating,B,floating,2,1,full,gudhi,0,0,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__floating__p2__h1__full,square_patch_3x3__floating,B,floating,2,1,full,gudhi,0,1,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__floating__p2__h1__full,square_patch_3x3__floating,B,floating,2,1,full,gudhi,0,2,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__floating__p2__h1__full,square_patch_3x3__floating,B,floating,2,1,full,gudhi,0,3,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__floating__p2__h1__full,square_patch_3x3__floating,B,floating,2,1,full,gudhi,0,4,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__floating__p2__h1__full,square_patch_3x3__floating,B,floating,2,1,full,gudhi,0,5,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__floating__p2__h1__full,square_patch_3x3__floating,B,floating,2,1,full,gudhi,0,6,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__floating__p2__h1__full,square_patch_3x3__floating,B,floating,2,1,full,gudhi,0,7,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__floating__p2__h1__full,square_patch_3x3__floating,B,floating,2,1,full,gudhi,0,8,0.0,inf,0x0.0p+0,inf
square_patch_3x3__floating__p2__h1__full,square_patch_3x3__floating,B,floating,2,1,full,gudhi,1,0,1.0,1.4142135623730951,0x1.0000000000000p+0,0x1.6a09e667f3bcdp+0
square_patch_3x3__floating__p2__h1__full,square_patch_3x3__floating,B,floating,2,1,full,gudhi,1,1,1.0,1.4142135623730951,0x1.0000000000000p+0,0x1.6a09e667f3bcdp+0
square_patch_3x3__floating__p2__h1__full,square_patch_3x3__floating,B,floating,2,1,full,gudhi,1,2,1.0,1.4142135623730951,0x1.0000000000000p+0,0x1.6a09e667f3bcdp+0
square_patch_3x3__floating__p2__h1__full,square_patch_3x3__floating,B,floating,2,1,full,gudhi,1,3,1.0,1.4142135623730951,0x1.0000000000000p+0,0x1.6a09e667f3bcdp+0
square_patch_3x3__floating__p2__h1__full,square_patch_3x3__floating,B,floating,2,1,full,gudhi,1,4,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
square_patch_3x3__floating__p2__h1__full,square_patch_3x3__floating,B,floating,2,1,full,gudhi,1,5,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
square_patch_3x3__floating__p2__h1__full,square_patch_3x3__floating,B,floating,2,1,full,gudhi,1,6,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
square_patch_3x3__floating__p2__h1__full,square_patch_3x3__floating,B,floating,2,1,full,gudhi,1,7,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
square_patch_3x3__floating__p2__h1__full,square_patch_3x3__floating,B,floating,2,1,full,gudhi,1,8,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
square_patch_3x3__floating__p2__h1__full,square_patch_3x3__floating,B,floating,2,1,full,gudhi,1,9,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
square_patch_3x3__floating__p2__h1__full,square_patch_3x3__floating,B,floating,2,1,full,gudhi,1,10,2.23606797749979,2.23606797749979,0x1.1e3779b97f4a8p+1,0x1.1e3779b97f4a8p+1
square_patch_3x3__floating__p2__h1__full,square_patch_3x3__floating,B,floating,2,1,full,gudhi,1,11,2.23606797749979,2.23606797749979,0x1.1e3779b97f4a8p+1,0x1.1e3779b97f4a8p+1
