case_id,benchmark_id,family,mode,coeff,maxdim,threshold_label,library,dimension,interval_index,birth,death,birth_hex,death_hex
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,gudhi,0,0,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,gudhi,0,1,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,gudhi,0,2,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,gudhi,0,3,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,gudhi,0,4,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,gudhi,0,5,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,gudhi,0,6,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,gudhi,0,7,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,gudhi,0,8,0.0,inf,0x0.0p+0,inf
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,gudhi,1,0,1.0,inf,0x1.0000000000000p+0,inf
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,gudhi,1,1,1.0,inf,0x1.0000000000000p+0,inf
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,gudhi,1,2,1.0,inf,0x1.0000000000000p+0,inf
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,gudhi,1,3,1.0,inf,0x1.0000000000000p+0,inf
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,ripser,0,0,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,ripser,0,1,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,ripser,0,2,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,ripser,0,3,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,ripser,0,4,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,ripser,0,5,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,ripser,0,6,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,ripser,0,7,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,ripser,0,8,0.0,inf,0x0.0p+0,inf
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,ripser,1,0,1.0,inf,0x1.0000000000000p+0,inf
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,ripser,1,1,1.0,inf,0x1.0000000000000p+0,inf
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,ripser,1,2,1.0,inf,0x1.0000000000000p+0,inf
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,ripser,1,3,1.0,inf,0x1.0000000000000p+0,inf
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,dionysus,0,0,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,dionysus,0,1,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,dionysus,0,2,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,dionysus,0,3,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,dionysus,0,4,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,dionysus,0,5,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,dionysus,0,6,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,dionysus,0,7,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,dionysus,0,8,0.0,inf,0x0.0p+0,inf
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,dionysus,1,0,1.0,inf,0x1.0000000000000p+0,inf
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,dionysus,1,1,1.0,inf,0x1.0000000000000p+0,inf
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,dionysus,1,2,1.0,inf,0x1.0000000000000p+0,inf
square_patch_3x3__quantized__p2__h1__selected,square_patch_3x3__quantized,B,quantized,2,1,selected,dionysus,1,3,1.0,inf,0x1.0000000000000p+0,inf
