case_id,benchmark_id,family,mode,coeff,maxdim,threshold_label,library,dimension,interval_index,birth,death,birth_hex,death_hex
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,0,0,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,0,1,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,0,2,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,0,3,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,0,4,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,0,5,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,0,6,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,0,7,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,0,8,0.0,inf,0x0.0p+0,inf
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,0,1.0,1.4140625,0x1.0000000000000p+0,0x1.6a00000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,1,1.0,1.4140625,0x1.0000000000000p+0,0x1.6a00000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,2,1.0,1.4140625,0x1.0000000000000p+0,0x1.6a00000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,3,1.0,1.4140625,0x1.0000000000000p+0,0x1.6a00000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,4,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,5,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,6,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,7,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,8,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,9,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,10,2.236328125,2.236328125,0x1.1e40000000000p+1,0x1.1e40000000000p+1
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,11,2.236328125,2.236328125,0x1.1e40000000000p+1,0x1.1e40000000000p+1
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,12,2.236328125,2.236328125,0x1.1e40000000000p+1,0x1.1e40000000000p+1
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,13,2.236328125,2.236328125,0x1.1e40000000000p+1,0x1.1e40000000000p+1
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,14,2.236328125,2.236328125,0x1.1e40000000000p+1,0x1.1e40000000000p+1
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,15,2.236328125,2.236328125,0x1.1e40000000000p+1,0x1.1e40000000000p+1
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,16,2.236328125,2.236328125,0x1.1e40000000000p+1,0x1.1e40000000000p+1
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,17,2.236328125,2.236328125,0x1.1e40000000000p+1,0x1.1e40000000000p+1
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,18,1.4140625,1.4140625,0x1.6a00000000000p+0,0x1.6a00000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,19,1.4140625,1.4140625,0x1.6a00000000000p+0,0x1.6a00000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,20,1.4140625,1.4140625,0x1.6a00000000000p+0,0x1.6a00000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,21,1.4140625,1.4140625,0x1.6a00000000000p+0,0x1.6a00000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,22,1.4140625,1.4140625,0x1.6a00000000000p+0,0x1.6a00000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,23,1.4140625,1.4140625,0x1.6a00000000000p+0,0x1.6a00000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,24,1.4140625,1.4140625,0x1.6a00000000000p+0,0x1.6a00000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,25,1.4140625,1.4140625,0x1.6a00000000000p+0,0x1.6a00000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,26,2.828125,2.828125,0x1.6a00000000000p+1,0x1.6a00000000000p+1
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,gudhi,1,27,2.828125,2.828125,0x1.6a00000000000p+1,0x1.6a00000000000p+1
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,ripser,0,0,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,ripser,0,1,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,ripser,0,2,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,ripser,0,3,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,ripser,0,4,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,ripser,0,5,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,ripser,0,6,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,ripser,0,7,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,ripser,0,8,0.0,inf,0x0.0p+0,inf
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,ripser,1,0,1.0,1.4140625,0x1.0000000000000p+0,0x1.6a00000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,ripser,1,1,1.0,1.4140625,0x1.0000000000000p+0,0x1.6a00000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,ripser,1,2,1.0,1.4140625,0x1.0000000000000p+0,0x1.6a00000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,ripser,1,3,1.0,1.4140625,0x1.0000000000000p+0,0x1.6a00000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,dionysus,0,0,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,dionysus,0,1,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,dionysus,0,2,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,dionysus,0,3,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,dionysus,0,4,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,dionysus,0,5,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,dionysus,0,6,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,dionysus,0,7,0.0,1.0,0x0.0p+0,0x1.0000000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,dionysus,0,8,0.0,inf,0x0.0p+0,inf
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,dionysus,1,0,1.0,1.4140625,0x1.0000000000000p+0,0x1.6a00000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,dionysus,1,1,1.0,1.4140625,0x1.0000000000000p+0,0x1.6a00000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,dionysus,1,2,1.0,1.4140625,0x1.0000000000000p+0,0x1.6a00000000000p+0
square_patch_3x3__quantized__p3__h1__full,square_patch_3x3__quantized,B,quantized,3,1,full,dionysus,1,3,1.0,1.4140625,0x1.0000000000000p+0,0x1.6a00000000000p+0
