case_id,benchmark_id,family,mode,coeff,maxdim,threshold_label,library,dimension,interval_index,birth,death,birth_hex,death_hex
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,0,0,0.0,2.0924048227067327,0x0.0p+0,0x1.0bd3ebd5c250fp+1
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,0,1,0.0,2.0924048227067327,0x0.0p+0,0x1.0bd3ebd5c250fp+1
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,0,2,0.0,2.215399298835807,0x0.0p+0,0x1.1b9234480a623p+1
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,0,3,0.0,2.2362259539521836,0x0.0p+0,0x1.1e3ca6ed5873bp+1
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,0,4,0.0,2.236225953952192,0x0.0p+0,0x1.1e3ca6ed5874ep+1
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,0,5,0.0,inf,0x0.0p+0,inf
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,1,0,8.244554454597132,8.244554454597132,0x1.07d363dd12beep+3,0x1.07d363dd12beep+3
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,1,1,8.244554454597155,8.244554454597155,0x1.07d363dd12bfbp+3,0x1.07d363dd12bfbp+3
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,1,2,4.571710545762172,4.571710545762172,0x1.2496e7d434eafp+2,0x1.2496e7d434eafp+2
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,1,3,4.571710545762174,4.571710545762174,0x1.2496e7d434eb1p+2,0x1.2496e7d434eb1p+2
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,1,4,4.835882953833781,4.835882953833781,0x1.357f1b377fff7p+2,0x1.357f1b377fff7p+2
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,1,5,4.835882953833796,4.835882953833796,0x1.357f1b3780008p+2,0x1.357f1b3780008p+2
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,1,6,21.87969489144892,21.87969489144892,0x1.5e133af353b3cp+4,0x1.5e133af353b3cp+4
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,1,7,13.342991423656683,13.342991423656683,0x1.aaf9c9266d3efp+3,0x1.aaf9c9266d3efp+3
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,1,8,13.342991423656722,13.342991423656722,0x1.aaf9c9266d405p+3,0x1.aaf9c9266d405p+3
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,1,9,7.788438652632343,7.788438652632343,0x1.f275c764fd537p+2,0x1.f275c764fd537p+2
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,2,0,8.244554454597132,8.244554454597132,0x1.07d363dd12beep+3,0x1.07d363dd12beep+3
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,2,1,8.244554454597155,8.244554454597155,0x1.07d363dd12bfbp+3,0x1.07d363dd12bfbp+3
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,2,2,21.87969489144892,21.87969489144892,0x1.5e133af353b3cp+4,0x1.5e133af353b3cp+4
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,2,3,21.87969489144892,21.87969489144892,0x1.5e133af353b3cp+4,0x1.5e133af353b3cp+4
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,2,4,21.87969489144892,21.87969489144892,0x1.5e133af353b3cp+4,0x1.5e133af353b3cp+4
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,2,5,13.342991423656683,13.342991423656683,0x1.aaf9c9266d3efp+3,0x1.aaf9c9266d3efp+3
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,2,6,13.342991423656683,13.342991423656683,0x1.aaf9c9266d3efp+3,0x1.aaf9c9266d3efp+3
tfim_obc_n6_g1p00__floating__p3__h2__full,tfim_obc_n6_g1p00__floating,A,floating,3,2,full,gudhi,2,7,13.342991423656722,13.342991423656722,0x1.aaf9c9266d405p+3,0x1.aaf9c9266d405p+3
