case_id,benchmark_id,family,mode,coeff,maxdim,threshold_label,library,dimension,interval_index,birth,death,birth_hex,death_hex
tfim_obc_n6_g1p00__quantized__p2__h2__full,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,full,gudhi,0,0,0.0,2.0927734375,0x0.0p+0,0x1.0be0000000000p+1
tfim_obc_n6_g1p00__quantized__p2__h2__full,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,full,gudhi,0,1,0.0,2.0927734375,0x0.0p+0,0x1.0be0000000000p+1
tfim_obc_n6_g1p00__quantized__p2__h2__full,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,full,gudhi,0,2,0.0,2.2158203125,0x0.0p+0,0x1.1ba0000000000p+1
tfim_obc_n6_g1p00__quantized__p2__h2__full,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,full,gudhi,0,3,0.0,2.236328125,0x0.0p+0,0x1.1e40000000000p+1
tfim_obc_n6_g1p00__quantized__p2__h2__full,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,full,gudhi,0,4,0.0,2.236328125,0x0.0p+0,0x1.1e40000000000p+1
tfim_obc_n6_g1p00__quantized__p2__h2__full,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,full,gudhi,0,5,0.0,inf,0x0.0p+0,inf
tfim_obc_n6_g1p00__quantized__p2__h2__full,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,full,gudhi,1,0,8.244140625,8.244140625,0x1.07d0000000000p+3,0x1.07d0000000000p+3
tfim_obc_n6_g1p00__quantized__p2__h2__full,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,full,gudhi,1,1,8.244140625,8.244140625,0x1.07d0000000000p+3,0x1.07d0000000000p+3
tfim_obc_n6_g1p00__quantized__p2__h2__full,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,full,gudhi,1,2,4.5712890625,4.5712890625,0x1.2490000000000p+2,0x1.2490000000000p+2
tfim_obc_n6_g1p00__quantized__p2__h2__full,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,full,gudhi,1,3,4.5712890625,4.5712890625,0x1.2490000000000p+2,0x1.2490000000000p+2
tfim_obc_n6_g1p00__quantized__p2__h2__full,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,full,gudhi,1,4,4.8359375,4.8359375,0x1.3580000000000p+2,0x1.3580000000000p+2
tfim_obc_n6_g1p00__quantized__p2__h2__full,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,full,gudhi,1,5,4.8359375,4.8359375,0x1.3580000000000p+2,0x1.3580000000000p+2
tfim_obc_n6_g1p00__quantized__p2__h2__full,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,full,gudhi,1,6,21.8798828125,21.8798828125,0x1.5e14000000000p+4,0x1.5e14000000000p+4
tfim_obc_n6_g1p00__quantized__p2__h2__full,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,full,gudhi,1,7,13.3427734375,13.3427734375,0x1.aaf8000000000p+3,0x1.aaf8000000000p+3
tfim_obc_n6_g1p00__quantized__p2__h2__full,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,full,gudhi,1,8,13.3427734375,13.3427734375,0x1.aaf8000000000p+3,0x1.aaf8000000000p+3
tfim_obc_n6_g1p00__quantized__p2__h2__full,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,full,gudhi,1,9,7.7880859375,7.7880859375,0x1.f270000000000p+2,0x1.f270000000000p+2
