case_id,benchmark_id,family,mode,coeff,maxdim,threshold_label,library,dimension,interval_index,birth,death,birth_hex,death_hex
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,0,0,0.0,2.0927734375,0x0.0p+0,0x1.0be0000000000p+1
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,0,1,0.0,2.0927734375,0x0.0p+0,0x1.0be0000000000p+1
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,0,2,0.0,2.2158203125,0x0.0p+0,0x1.1ba0000000000p+1
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,0,3,0.0,2.236328125,0x0.0p+0,0x1.1e40000000000p+1
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,0,4,0.0,2.236328125,0x0.0p+0,0x1.1e40000000000p+1
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,0,5,0.0,inf,0x0.0p+0,inf
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,1,0,4.5712890625,4.5712890625,0x1.2490000000000p+2,0x1.2490000000000p+2
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,selected,gudhi,1,1,4.5712890625,4.5712890625,0x1.2490000000000p+2,0x1.2490000000000p+2
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,selected,ripser,0,0,0.0,2.0927734375,0x0.0p+0,0x1.0be0000000000p+1
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,selected,ripser,0,1,0.0,2.0927734375,0x0.0p+0,0x1.0be0000000000p+1
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,selected,ripser,0,2,0.0,2.2158203125,0x0.0p+0,0x1.1ba0000000000p+1
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,selected,ripser,0,3,0.0,2.236328125,0x0.0p+0,0x1.1e40000000000p+1
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,selected,ripser,0,4,0.0,2.236328125,0x0.0p+0,0x1.1e40000000000p+1
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,selected,ripser,0,5,0.0,inf,0x0.0p+0,inf
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,selected,dionysus,0,0,0.0,2.0927734375,0x0.0p+0,0x1.0be0000000000p+1
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,selected,dionysus,0,1,0.0,2.0927734375,0x0.0p+0,0x1.0be0000000000p+1
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,selected,dionysus,0,2,0.0,2.2158203125,0x0.0p+0,0x1.1ba0000000000p+1
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,selected,dionysus,0,3,0.0,2.236328125,0x0.0p+0,0x1.1e40000000000p+1
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,selected,dionysus,0,4,0.0,2.236328125,0x0.0p+0,0x1.1e40000000000p+1
tfim_obc_n6_g1p00__quantized__p2__h2__selected,tfim_obc_n6_g1p00__quantized,A,quantized,2,2,selected,dionysus,0,5,0.0,inf,0x0.0p+0,inf
