case_id,benchmark_id,family,mode,coeff,maxdim,threshold_label,library,dimension,interval_index,birth,death,birth_hex,death_hex
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,gudhi,0,0,0.0,1.112249283897788,0x0.0p+0,0x1.1cbc5e7b5725bp+0
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,gudhi,0,1,0.0,1.1122492838977882,0x0.0p+0,0x1.1cbc5e7b5725cp+0
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,gudhi,0,2,0.0,1.1122492838977887,0x0.0p+0,0x1.1cbc5e7b5725ep+0
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,gudhi,0,3,0.0,1.1122492838977889,0x0.0p+0,0x1.1cbc5e7b5725fp+0
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,gudhi,0,4,0.0,1.1122492838977895,0x0.0p+0,0x1.1cbc5e7b57262p+0
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,gudhi,0,5,0.0,inf,0x0.0p+0,inf
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,gudhi,1,0,1.1122492838977902,inf,0x1.1cbc5e7b57265p+0,inf
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,gudhi,1,1,1.1276651550305354,1.1276651550305354,0x1.20aea9e1b1e64p+0,0x1.20aea9e1b1e64p+0
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,gudhi,1,2,1.1276651550305354,1.1276651550305354,0x1.20aea9e1b1e64p+0,0x1.20aea9e1b1e64p+0
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,ripser,0,0,0.0,1.1122492551803589,0x0.0p+0,0x1.1cbc5e0000000p+0
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,ripser,0,1,0.0,1.1122492551803589,0x0.0p+0,0x1.1cbc5e0000000p+0
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,ripser,0,2,0.0,1.1122492551803589,0x0.0p+0,0x1.1cbc5e0000000p+0
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,ripser,0,3,0.0,1.1122492551803589,0x0.0p+0,0x1.1cbc5e0000000p+0
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,ripser,0,4,0.0,1.1122492551803589,0x0.0p+0,0x1.1cbc5e0000000p+0
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,ripser,0,5,0.0,inf,0x0.0p+0,inf
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,ripser,1,0,1.1122492551803589,1.1276651620864868,0x1.1cbc5e0000000p+0,0x1.20aeaa0000000p+0
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,dionysus,0,0,0.0,1.1122492551803589,0x0.0p+0,0x1.1cbc5e0000000p+0
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,dionysus,0,1,0.0,1.1122492551803589,0x0.0p+0,0x1.1cbc5e0000000p+0
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,dionysus,0,2,0.0,1.1122492551803589,0x0.0p+0,0x1.1cbc5e0000000p+0
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,dionysus,0,3,0.0,1.1122492551803589,0x0.0p+0,0x1.1cbc5e0000000p+0
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,dionysus,0,4,0.0,1.1122492551803589,0x0.0p+0,0x1.1cbc5e0000000p+0
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,dionysus,0,5,0.0,inf,0x0.0p+0,inf
tfim_pbc_n6_g0p50__floating__p3__h1__selected,tfim_pbc_n6_g0p50__floating,A,floating,3,1,selected,dionysus,1,0,1.1122492551803589,1.1276651620864868,0x1.1cbc5e0000000p+0,0x1.20aeaa0000000p+0
