case_id,benchmark_id,family,mode,coeff,maxdim,threshold_label,library,dimension,interval_index,birth,death,birth_hex,death_hex
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,gudhi,0,0,0.0,1.8570703937962667,0x0.0p+0,0x1.db68f71fb98cfp+0
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,gudhi,0,1,0.0,1.8570703937962667,0x0.0p+0,0x1.db68f71fb98cfp+0
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,gudhi,0,2,0.0,1.8570703937962674,0x0.0p+0,0x1.db68f71fb98d2p+0
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,gudhi,0,3,0.0,1.8570703937962683,0x0.0p+0,0x1.db68f71fb98d6p+0
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,gudhi,0,4,0.0,1.857070393796269,0x0.0p+0,0x1.db68f71fb98d9p+0
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,gudhi,0,5,0.0,inf,0x0.0p+0,inf
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,gudhi,1,0,2.497817855094092,2.497817855094092,0x1.3fb87ed77f3b2p+1,0x1.3fb87ed77f3b2p+1
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,gudhi,1,1,2.497817855094093,2.497817855094093,0x1.3fb87ed77f3b4p+1,0x1.3fb87ed77f3b4p+1
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,gudhi,1,2,2.497817855094093,2.497817855094093,0x1.3fb87ed77f3b4p+1,0x1.3fb87ed77f3b4p+1
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,gudhi,1,3,2.497817855094093,2.497817855094093,0x1.3fb87ed77f3b4p+1,0x1.3fb87ed77f3b4p+1
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,gudhi,1,4,2.4978178550940937,2.4978178550940937,0x1.3fb87ed77f3b6p+1,0x1.3fb87ed77f3b6p+1
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,gudhi,1,5,2.497817855094094,2.497817855094094,0x1.3fb87ed77f3b7p+1,0x1.3fb87ed77f3b7p+1
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,gudhi,1,6,2.709751451272041,2.709751451272041,0x1.5ad922b3c0400p+1,0x1.5ad922b3c0400p+1
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,gudhi,1,7,2.7097514512720444,2.7097514512720444,0x1.5ad922b3c0408p+1,0x1.5ad922b3c0408p+1
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,gudhi,1,8,2.7097514512720444,2.7097514512720444,0x1.5ad922b3c0408p+1,0x1.5ad922b3c0408p+1
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,gudhi,1,9,1.85707039379627,2.4978178550940937,0x1.db68f71fb98dep+0,0x1.3fb87ed77f3b6p+1
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,ripser,0,0,0.0,1.8570704460144043,0x0.0p+0,0x1.db68f80000000p+0
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,ripser,0,1,0.0,1.8570704460144043,0x0.0p+0,0x1.db68f80000000p+0
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,ripser,0,2,0.0,1.8570704460144043,0x0.0p+0,0x1.db68f80000000p+0
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,ripser,0,3,0.0,1.8570704460144043,0x0.0p+0,0x1.db68f80000000p+0
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,ripser,0,4,0.0,1.8570704460144043,0x0.0p+0,0x1.db68f80000000p+0
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,ripser,0,5,0.0,inf,0x0.0p+0,inf
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,ripser,1,0,1.8570704460144043,2.4978177547454834,0x1.db68f80000000p+0,0x1.3fb87e0000000p+1
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,dionysus,0,0,0.0,1.8570704460144043,0x0.0p+0,0x1.db68f80000000p+0
tfim_pbc_n6_g1p00__floating__p3__h1__full,tfim_pbc_n6_g1p00__floating,A,floating,3,1,full,dionysus,0,1,0.0,1.8570704460144043,0x0.0p+0,0x1.db68f80000000p+0
