case_id,benchmark_id,family,mode,coeff,maxdim,threshold_label,library,dimension,interval_index,birth,death,birth_hex,death_hex
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,0,0,0.0,0.9999999999999999,0x0.0p+0,0x1.fffffffffffffp-1
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,0,1,0.0,0.9999999999999999,0x0.0p+0,0x1.fffffffffffffp-1
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,0,2,0.0,0.9999999999999999,0x0.0p+0,0x1.fffffffffffffp-1
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,0,3,0.0,0.9999999999999999,0x0.0p+0,0x1.fffffffffffffp-1
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,0,4,0.0,0.9999999999999999,0x0.0p+0,0x1.fffffffffffffp-1
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,0,5,0.0,0.9999999999999999,0x0.0p+0,0x1.fffffffffffffp-1
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,0,6,0.0,0.9999999999999999,0x0.0p+0,0x1.fffffffffffffp-1
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,0,7,0.0,0.9999999999999999,0x0.0p+0,0x1.fffffffffffffp-1
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,0,8,0.0,inf,0x0.0p+0,inf
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,0,1.0,1.0,0x1.0000000000000p+0,0x1.0000000000000p+0
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,1,1.0,1.0,0x1.0000000000000p+0,0x1.0000000000000p+0
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,2,1.0,1.0,0x1.0000000000000p+0,0x1.0000000000000p+0
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,3,1.0,1.0,0x1.0000000000000p+0,0x1.0000000000000p+0
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,4,1.0,1.0,0x1.0000000000000p+0,0x1.0000000000000p+0
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,5,1.0,1.0,0x1.0000000000000p+0,0x1.0000000000000p+0
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,6,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,7,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,8,2.0,2.0,0x1.0000000000000p+1,0x1.0000000000000p+1
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,9,2.6457513110645907,2.6457513110645907,0x1.52a7fa9d2f8eap+1,0x1.52a7fa9d2f8eap+1
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,10,2.6457513110645907,2.6457513110645907,0x1.52a7fa9d2f8eap+1,0x1.52a7fa9d2f8eap+1
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,11,2.6457513110645907,2.6457513110645907,0x1.52a7fa9d2f8eap+1,0x1.52a7fa9d2f8eap+1
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,12,2.6457513110645907,2.6457513110645907,0x1.52a7fa9d2f8eap+1,0x1.52a7fa9d2f8eap+1
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,13,1.7320508075688772,1.7320508075688772,0x1.bb67ae8584caap+0,0x1.bb67ae8584caap+0
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,14,1.7320508075688772,1.7320508075688772,0x1.bb67ae8584caap+0,0x1.bb67ae8584caap+0
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,15,1.7320508075688772,1.7320508075688772,0x1.bb67ae8584caap+0,0x1.bb67ae8584caap+0
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,16,1.7320508075688772,1.7320508075688772,0x1.bb67ae8584caap+0,0x1.bb67ae8584caap+0
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,17,1.7320508075688772,1.7320508075688772,0x1.bb67ae8584caap+0,0x1.bb67ae8584caap+0
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,18,1.7320508075688772,1.7320508075688772,0x1.bb67ae8584caap+0,0x1.bb67ae8584caap+0
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,19,1.7320508075688772,1.7320508075688772,0x1.bb67ae8584caap+0,0x1.bb67ae8584caap+0
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,20,1.7320508075688772,1.7320508075688772,0x1.bb67ae8584caap+0,0x1.bb67ae8584caap+0
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,21,1.7320508075688772,1.7320508075688772,0x1.bb67ae8584caap+0,0x1.bb67ae8584caap+0
triangular_patch_3x3__floating__p2__h1__full,triangular_patch_3x3__floating,B,floating,2,1,full,gudhi,1,22,1.9999999999999998,1.9999999999999998,0x1.fffffffffffffp+0,0x1.fffffffffffffp+0
