label,probe_value,probe_value_hex,gudhi,ripser,dionysus,all_equal,critical_value,critical_value_hex
below_min,0.003645231947302818,0x1.ddc9affffffffp-9,0,0,0,True,,
after_0x1.ddc9b00000000p-9,0.0036452319473028187,0x1.ddc9b00000001p-9,1,1,1,True,0.0036452319473028183,0x1.ddc9b00000000p-9
after_0x1.bfa0c80000000p-8,0.006830262020230294,0x1.bfa0c80000001p-8,2,2,2,True,0.006830262020230293,0x1.bfa0c80000000p-8
after_0x1.0229860000000p-5,0.03151394054293633,0x1.0229860000001p-5,3,3,3,True,0.031513940542936325,0x1.0229860000000p-5
after_0x1.7f13ca0000000p-5,0.04676236584782601,0x1.7f13ca0000001p-5,4,4,4,True,0.046762365847826004,0x1.7f13ca0000000p-5
after_0x1.1ff6060000000p-4,0.07030298560857774,0x1.1ff6060000001p-4,3,3,3,True,0.07030298560857773,0x1.1ff6060000000p-4
after_0x1.27374a0000000p-4,0.07207421213388444,0x1.27374a0000001p-4,4,4,4,True,0.07207421213388443,0x1.27374a0000000p-4
after_0x1.2eb3120000000p-4,0.0739012435078621,0x1.2eb3120000001p-4,5,5,5,True,0.07390124350786209,0x1.2eb3120000000p-4
after_0x1.34f26e0000000p-4,0.07542651146650316,0x1.34f26e0000001p-4,4,4,4,True,0.07542651146650314,0x1.34f26e0000000p-4
after_0x1.3820080000000p-4,0.0762024223804474,0x1.3820080000001p-4,4,4,4,True,0.07620242238044739,0x1.3820080000000p-4
after_0x1.4bd26c0000000p-4,0.08101122081279756,0x1.4bd26c0000001p-4,4,4,4,True,0.08101122081279755,0x1.4bd26c0000000p-4
after_0x1.9d5a560000000p-4,0.10091622918844224,0x1.9d5a560000001p-4,3,3,3,True,0.10091622918844223,0x1.9d5a560000000p-4
after_0x1.5ec2c20000000p-3,0.17126990854740146,0x1.5ec2c20000001p-3,2,2,2,True,0.17126990854740143,0x1.5ec2c20000000p-3
after_0x1.8569f00000000p-3,0.1901434659957886,0x1.8569f00000001p-3,1,1,1,True,0.19014346599578857,0x1.8569f00000000p-3
