label,probe_value,probe_value_hex,gudhi,ripser,dionysus,all_equal,critical_value,critical_value_hex
below_min,0.0036452319144569378,0x1.ddc9afb7c569cp-9,0,0,0,True,,
after_0x1.ddc9afb7c569dp-9,0.0036452319144569386,0x1.ddc9afb7c569ep-9,1,0,0,False,0.003645231914456938,0x1.ddc9afb7c569dp-9
after_0x1.bfa0c8638b27cp-8,0.0068302621107646485,0x1.bfa0c8638b27dp-8,2,2,2,True,0.006830262110764648,0x1.bfa0c8638b27cp-8
after_0x1.022986c92319dp-5,0.03151394200640144,0x1.022986c92319ep-5,3,3,3,True,0.03151394200640143,0x1.022986c92319dp-5
after_0x1.7f13c99748c23p-5,0.046762365085918384,0x1.7f13c99748c24p-5,4,3,3,False,0.04676236508591838,0x1.7f13c99748c23p-5
after_0x1.1ff606bc95508p-4,0.07030298835282535,0x1.1ff606bc95509p-4,3,3,3,True,0.07030298835282534,0x1.1ff606bc95508p-4
after_0x1.273749a1f8173p-4,0.07207421076555481,0x1.273749a1f8174p-4,4,3,3,False,0.0720742107655548,0x1.273749a1f8173p-4
after_0x1.2eb3117c80f3bp-4,0.07390124159433936,0x1.2eb3117c80f3cp-4,5,4,4,False,0.07390124159433935,0x1.2eb3117c80f3bp-4
after_0x1.34f26e0f0a680p-4,0.07542651168537341,0x1.34f26e0f0a681p-4,4,4,4,True,0.0754265116853734,0x1.34f26e0f0a680p-4
after_0x1.38200737ca673p-4,0.07620241946701772,0x1.38200737ca674p-4,4,4,4,True,0.07620241946701771,0x1.38200737ca673p-4
after_0x1.4bd26c65fcb02p-4,0.08101122229690465,0x1.4bd26c65fcb03p-4,4,4,4,True,0.08101122229690463,0x1.4bd26c65fcb02p-4
after_0x1.9d5a567cfddfbp-4,0.10091623100731079,0x1.9d5a567cfddfcp-4,3,3,3,True,0.10091623100731077,0x1.9d5a567cfddfbp-4
after_0x1.5ec2c16a5acb4p-3,0.17126990419214896,0x1.5ec2c16a5acb5p-3,2,3,3,False,0.17126990419214894,0x1.5ec2c16a5acb4p-3
after_0x1.8569f0791ff23p-3,0.19014346952098393,0x1.8569f0791ff24p-3,1,1,1,True,0.1901434695209839,0x1.8569f0791ff23p-3
