label,probe_value,probe_value_hex,gudhi,ripser,dionysus,all_equal,critical_value,critical_value_hex
below_min,0.0039062499999999996,0x1.fffffffffffffp-9,0,0,0,True,,
after_0x1.0000000000000p-8,0.003906250000000001,0x1.0000000000001p-8,1,1,1,True,0.00390625,0x1.0000000000000p-8
after_0x1.c000000000000p-8,0.006835937500000001,0x1.c000000000001p-8,2,2,2,True,0.0068359375,0x1.c000000000000p-8
after_0x1.0000000000000p-5,0.03125000000000001,0x1.0000000000001p-5,3,3,3,True,0.03125,0x1.0000000000000p-5
after_0x1.8000000000000p-5,0.04687500000000001,0x1.8000000000001p-5,4,4,4,True,0.046875,0x1.8000000000000p-5
after_0x1.2000000000000p-4,0.07031250000000001,0x1.2000000000001p-4,3,3,3,True,0.0703125,0x1.2000000000000p-4
after_0x1.2800000000000p-4,0.07226562500000001,0x1.2800000000001p-4,4,4,4,True,0.072265625,0x1.2800000000000p-4
after_0x1.3000000000000p-4,0.07421875000000001,0x1.3000000000001p-4,5,5,5,True,0.07421875,0x1.3000000000000p-4
after_0x1.3400000000000p-4,0.07519531250000001,0x1.3400000000001p-4,4,4,4,True,0.0751953125,0x1.3400000000000p-4
after_0x1.3800000000000p-4,0.07617187500000001,0x1.3800000000001p-4,4,4,4,True,0.076171875,0x1.3800000000000p-4
after_0x1.4c00000000000p-4,0.08105468750000001,0x1.4c00000000001p-4,4,4,4,True,0.0810546875,0x1.4c00000000000p-4
after_0x1.9c00000000000p-4,0.10058593750000001,0x1.9c00000000001p-4,3,3,3,True,0.1005859375,0x1.9c00000000000p-4
after_0x1.5e00000000000p-3,0.17089843750000003,0x1.5e00000000001p-3,2,2,2,True,0.1708984375,0x1.5e00000000000p-3
after_0x1.8600000000000p-3,0.19042968750000003,0x1.8600000000001p-3,1,1,1,True,0.1904296875,0x1.8600000000000p-3
