row,col,value,value_hex
0,0,0.076171875,0x1.3800000000000p-4
0,1,0.076171875,0x1.3800000000000p-4
1,0,0.076171875,0x1.3800000000000p-4
1,1,0.072265625,0x1.2800000000000p-4
1,2,0.1904296875,0x1.8600000000000p-3
2,1,0.1904296875,0x1.8600000000000p-3
2,2,0.1904296875,0x1.8600000000000p-3
2,3,0.1904296875,0x1.8600000000000p-3
3,2,0.1904296875,0x1.8600000000000p-3
3,3,0.046875,0x1.8000000000000p-5
3,4,0.0751953125,0x1.3400000000000p-4
4,3,0.0751953125,0x1.3400000000000p-4
4,4,0.0751953125,0x1.3400000000000p-4
4,5,0.0751953125,0x1.3400000000000p-4
5,4,0.0751953125,0x1.3400000000000p-4
5,5,0.00390625,0x1.0000000000000p-8
5,6,0.1005859375,0x1.9c00000000000p-4
6,5,0.1005859375,0x1.9c00000000000p-4
6,6,0.1005859375,0x1.9c00000000000p-4
6,7,0.1005859375,0x1.9c00000000000p-4
7,6,0.1005859375,0x1.9c00000000000p-4
7,7,0.0068359375,0x1.c000000000000p-8
7,8,0.0703125,0x1.2000000000000p-4
8,7,0.0703125,0x1.2000000000000p-4
8,8,0.0703125,0x1.2000000000000p-4
8,9,0.0703125,0x1.2000000000000p-4
9,8,0.0703125,0x1.2000000000000p-4
9,9,0.03125,0x1.0000000000000p-5
9,10,0.1708984375,0x1.5e00000000000p-3
10,9,0.1708984375,0x1.5e00000000000p-3
10,10,0.1708984375,0x1.5e00000000000p-3
10,11,0.1708984375,0x1.5e00000000000p-3
11,10,0.1708984375,0x1.5e00000000000p-3
11,11,0.07421875,0x1.3000000000000p-4
11,12,0.0810546875,0x1.4c00000000000p-4
12,11,0.0810546875,0x1.4c00000000000p-4
12,12,0.0810546875,0x1.4c00000000000p-4
