row,col,value,value_hex
0,0,0.875,0x1.c000000000000p-1
0,1,0.875,0x1.c000000000000p-1
1,0,0.875,0x1.c000000000000p-1
1,1,0.25,0x1.0000000000000p-2
1,2,0.75,0x1.8000000000000p-1
2,1,0.75,0x1.8000000000000p-1
2,2,0.75,0x1.8000000000000p-1
2,3,0.75,0x1.8000000000000p-1
3,2,0.75,0x1.8000000000000p-1
3,3,0.125,0x1.0000000000000p-3
3,4,0.625,0x1.4000000000000p-1
4,3,0.625,0x1.4000000000000p-1
4,4,0.625,0x1.4000000000000p-1
4,5,0.625,0x1.4000000000000p-1
5,4,0.625,0x1.4000000000000p-1
5,5,0.375,0x1.8000000000000p-2
5,6,1.0,0x1.0000000000000p+0
6,5,1.0,0x1.0000000000000p+0
6,6,1.0,0x1.0000000000000p+0
