scope,comparison_mode,comparison_mode_label,pair,dimension,total_dimension_records,exact_count,different_count,exact_rate
all_dimensions,distance_zero_semantic,distance_zero_semantic,gudhi__dionysus,all,480,460,20,0.9583333333333334
all_dimensions,distance_zero_semantic,distance_zero_semantic,gudhi__ripser,all,480,460,20,0.9583333333333334
all_dimensions,distance_zero_semantic,distance_zero_semantic,ripser__dionysus,all,480,480,0,1.0
all_dimensions,drop_zero_length_intervals,B. drop_zero_length_intervals,gudhi__dionysus,all,480,342,138,0.7125
all_dimensions,drop_zero_length_intervals,B. drop_zero_length_intervals,gudhi__ripser,all,480,342,138,0.7125
all_dimensions,drop_zero_length_intervals,B. drop_zero_length_intervals,ripser__dionysus,all,480,480,0,1.0
all_dimensions,drop_zero_length_intervals_plus_float32_roundtrip,C. drop_zero_length_intervals + float32_roundtrip,gudhi__dionysus,all,480,460,20,0.9583333333333334
all_dimensions,drop_zero_length_intervals_plus_float32_roundtrip,C. drop_zero_length_intervals + float32_roundtrip,gudhi__ripser,all,480,460,20,0.9583333333333334
all_dimensions,drop_zero_length_intervals_plus_float32_roundtrip,C. drop_zero_length_intervals + float32_roundtrip,ripser__dionysus,all,480,480,0,1.0
all_dimensions,raw_exact,A. raw_exact,gudhi__dionysus,all,480,204,276,0.425
all_dimensions,raw_exact,A. raw_exact,gudhi__ripser,all,480,204,276,0.425
all_dimensions,raw_exact,A. raw_exact,ripser__dionysus,all,480,480,0,1.0
all_dimensions,threshold_truncation_harmonized,D. threshold_truncation_harmonized,gudhi__dionysus,all,480,480,0,1.0
all_dimensions,threshold_truncation_harmonized,D. threshold_truncation_harmonized,gudhi__ripser,all,480,480,0,1.0
all_dimensions,threshold_truncation_harmonized,D. threshold_truncation_harmonized,ripser__dionysus,all,480,480,0,1.0
per_dimension,distance_zero_semantic,distance_zero_semantic,gudhi__dionysus,0,192,192,0,1.0
per_dimension,distance_zero_semantic,distance_zero_semantic,gudhi__dionysus,1,192,176,16,0.9166666666666666
per_dimension,distance_zero_semantic,distance_zero_semantic,gudhi__dionysus,2,96,92,4,0.9583333333333334
per_dimension,distance_zero_semantic,distance_zero_semantic,gudhi__ripser,0,192,192,0,1.0
per_dimension,distance_zero_semantic,distance_zero_semantic,gudhi__ripser,1,192,176,16,0.9166666666666666
per_dimension,distance_zero_semantic,distance_zero_semantic,gudhi__ripser,2,96,92,4,0.9583333333333334
per_dimension,distance_zero_semantic,distance_zero_semantic,ripser__dionysus,0,192,192,0,1.0
per_dimension,distance_zero_semantic,distance_zero_semantic,ripser__dionysus,1,192,192,0,1.0
per_dimension,distance_zero_semantic,distance_zero_semantic,ripser__dionysus,2,96,96,0,1.0
per_dimension,drop_zero_length_intervals,B. drop_zero_length_intervals,gudhi__dionysus,0,192,112,80,0.5833333333333334
per_dimension,drop_zero_length_intervals,B. drop_zero_length_intervals,gudhi__dionysus,1,192,144,48,0.75
per_dimension,drop_zero_length_intervals,B. drop_zero_length_intervals,gudhi__dionysus,2,96,86,10,0.8958333333333334
per_dimension,drop_zero_length_intervals,B. drop_zero_length_intervals,gudhi__ripser,0,192,112,80,0.5833333333333334
per_dimension,drop_zero_length_intervals,B. drop_zero_length_intervals,gudhi__ripser,1,192,144,48,0.75
per_dimension,drop_zero_length_intervals,B. drop_zero_length_intervals,gudhi__ripser,2,96,86,10,0.8958333333333334
per_dimension,drop_zero_length_intervals,B. drop_zero_length_intervals,ripser__dionysus,0,192,192,0,1.0
per_dimension,drop_zero_length_intervals,B. drop_zero_length_intervals,ripser__dionysus,1,192,192,0,1.0
per_dimension,drop_zero_length_intervals,B. drop_zero_length_intervals,ripser__dionysus,2,96,96,0,1.0
per_dimension,drop_zero_length_intervals_plus_float32_roundtrip,C. drop_zero_length_intervals + float32_roundtrip,gudhi__dionysus,0,192,192,0,1.0
per_dimension,drop_zero_length_intervals_plus_float32_roundtrip,C. drop_zero_length_intervals + float32_roundtrip,gudhi__dionysus,1,192,176,16,0.9166666666666666
per_dimension,drop_zero_length_intervals_plus_float32_roundtrip,C. drop_zero_length_intervals + float32_roundtrip,gudhi__dionysus,2,96,92,4,0.9583333333333334
per_dimension,drop_zero_length_intervals_plus_float32_roundtrip,C. drop_zero_length_intervals + float32_roundtrip,gudhi__ripser,0,192,192,0,1.0
per_dimension,drop_zero_length_intervals_plus_float32_roundtrip,C. drop_zero_length_intervals + float32_roundtrip,gudhi__ripser,1,192,176,16,0.9166666666666666
per_dimension,drop_zero_length_intervals_plus_float32_roundtrip,C. drop_zero_length_intervals + float32_roundtrip,gudhi__ripser,2,96,92,4,0.9583333333333334
per_dimension,drop_zero_length_intervals_plus_float32_roundtrip,C. drop_zero_length_intervals + float32_roundtrip,ripser__dionysus,0,192,192,0,1.0
per_dimension,drop_zero_length_intervals_plus_float32_roundtrip,C. drop_zero_length_intervals + float32_roundtrip,ripser__dionysus,1,192,192,0,1.0
per_dimension,drop_zero_length_intervals_plus_float32_roundtrip,C. drop_zero_length_intervals + float32_roundtrip,ripser__dionysus,2,96,96,0,1.0
per_dimension,raw_exact,A. raw_exact,gudhi__dionysus,0,192,112,80,0.5833333333333334
per_dimension,raw_exact,A. raw_exact,gudhi__dionysus,1,192,48,144,0.25
per_dimension,raw_exact,A. raw_exact,gudhi__dionysus,2,96,44,52,0.4583333333333333
per_dimension,raw_exact,A. raw_exact,gudhi__ripser,0,192,112,80,0.5833333333333334
per_dimension,raw_exact,A. raw_exact,gudhi__ripser,1,192,48,144,0.25
per_dimension,raw_exact,A. raw_exact,gudhi__ripser,2,96,44,52,0.4583333333333333
per_dimension,raw_exact,A. raw_exact,ripser__dionysus,0,192,192,0,1.0
per_dimension,raw_exact,A. raw_exact,ripser__dionysus,1,192,192,0,1.0
per_dimension,raw_exact,A. raw_exact,ripser__dionysus,2,96,96,0,1.0
per_dimension,threshold_truncation_harmonized,D. threshold_truncation_harmonized,gudhi__dionysus,0,192,192,0,1.0
per_dimension,threshold_truncation_harmonized,D. threshold_truncation_harmonized,gudhi__dionysus,1,192,192,0,1.0
per_dimension,threshold_truncation_harmonized,D. threshold_truncation_harmonized,gudhi__dionysus,2,96,96,0,1.0
per_dimension,threshold_truncation_harmonized,D. threshold_truncation_harmonized,gudhi__ripser,0,192,192,0,1.0
per_dimension,threshold_truncation_harmonized,D. threshold_truncation_harmonized,gudhi__ripser,1,192,192,0,1.0
per_dimension,threshold_truncation_harmonized,D. threshold_truncation_harmonized,gudhi__ripser,2,96,96,0,1.0
per_dimension,threshold_truncation_harmonized,D. threshold_truncation_harmonized,ripser__dionysus,0,192,192,0,1.0
per_dimension,threshold_truncation_harmonized,D. threshold_truncation_harmonized,ripser__dionysus,1,192,192,0,1.0
per_dimension,threshold_truncation_harmonized,D. threshold_truncation_harmonized,ripser__dionysus,2,96,96,0,1.0
