case_id,benchmark_id,family,label,mode,coeff,maxdim,threshold_label,threshold_value,matrix_size,distance_matrix_hash,point_cloud_hash,exact_all_libraries,mismatch_dimensions
tfim_obc_n4_g0p50__floating__p2__h1__selected,tfim_obc_n4_g0p50__floating,A,"TFIM OBC N=4, g=0.50",floating,2,1,selected,1.2427812645009748,4,38ff65464b09dd1fb2b06956acc00e3de7793446c02e28a0a709a3d9c6ac2b74,,False,0
tfim_obc_n4_g0p50__floating__p2__h1__full,tfim_obc_n4_g0p50__floating,A,"TFIM OBC N=4, g=0.50",floating,2,1,full,1.7594160005299657,4,38ff65464b09dd1fb2b06956acc00e3de7793446c02e28a0a709a3d9c6ac2b74,,False,"0,1"
tfim_obc_n4_g0p50__floating__p2__h2__selected,tfim_obc_n4_g0p50__floating,A,"TFIM OBC N=4, g=0.50",floating,2,2,selected,1.2427812645009748,4,38ff65464b09dd1fb2b06956acc00e3de7793446c02e28a0a709a3d9c6ac2b74,,False,0
tfim_obc_n4_g0p50__floating__p2__h2__full,tfim_obc_n4_g0p50__floating,A,"TFIM OBC N=4, g=0.50",floating,2,2,full,1.7594160005299657,4,38ff65464b09dd1fb2b06956acc00e3de7793446c02e28a0a709a3d9c6ac2b74,,False,"0,1,2"
tfim_obc_n4_g0p50__floating__p3__h1__selected,tfim_obc_n4_g0p50__floating,A,"TFIM OBC N=4, g=0.50",floating,3,1,selected,1.2427812645009748,4,38ff65464b09dd1fb2b06956acc00e3de7793446c02e28a0a709a3d9c6ac2b74,,False,0
tfim_obc_n4_g0p50__floating__p3__h1__full,tfim_obc_n4_g0p50__floating,A,"TFIM OBC N=4, g=0.50",floating,3,1,full,1.7594160005299657,4,38ff65464b09dd1fb2b06956acc00e3de7793446c02e28a0a709a3d9c6ac2b74,,False,"0,1"
tfim_obc_n4_g0p50__floating__p3__h2__selected,tfim_obc_n4_g0p50__floating,A,"TFIM OBC N=4, g=0.50",floating,3,2,selected,1.2427812645009748,4,38ff65464b09dd1fb2b06956acc00e3de7793446c02e28a0a709a3d9c6ac2b74,,False,0
tfim_obc_n4_g0p50__floating__p3__h2__full,tfim_obc_n4_g0p50__floating,A,"TFIM OBC N=4, g=0.50",floating,3,2,full,1.7594160005299657,4,38ff65464b09dd1fb2b06956acc00e3de7793446c02e28a0a709a3d9c6ac2b74,,False,"0,1,2"
tfim_obc_n4_g0p50__quantized__p2__h1__selected,tfim_obc_n4_g0p50__quantized,A,"TFIM OBC N=4, g=0.50",quantized,2,1,selected,1.2431640625,4,50b73af87c25e8e2562bab820ebd2e7b35eb9830bcaf222ec9eaef699a80697c,,True,
tfim_obc_n4_g0p50__quantized__p2__h1__full,tfim_obc_n4_g0p50__quantized,A,"TFIM OBC N=4, g=0.50",quantized,2,1,full,1.759765625,4,50b73af87c25e8e2562bab820ebd2e7b35eb9830bcaf222ec9eaef699a80697c,,False,1
tfim_obc_n4_g0p50__quantized__p2__h2__selected,tfim_obc_n4_g0p50__quantized,A,"TFIM OBC N=4, g=0.50",quantized,2,2,selected,1.2431640625,4,50b73af87c25e8e2562bab820ebd2e7b35eb9830bcaf222ec9eaef699a80697c,,True,
tfim_obc_n4_g0p50__quantized__p2__h2__full,tfim_obc_n4_g0p50__quantized,A,"TFIM OBC N=4, g=0.50",quantized,2,2,full,1.759765625,4,50b73af87c25e8e2562bab820ebd2e7b35eb9830bcaf222ec9eaef699a80697c,,False,"1,2"
